abandoned,-1,-1
abandonment,-1,-1
abandon,-1,-1
abase,-2,-1
abasement,-2,-1
abash,-2,-1
abate,-1,-1
abdicate,-1,-1
aberration,-2,-1
aberration,-2,-1
abhor,-2,-1
abhor,-2,-1
abhorred,-2,-1
abhorrence,-2,-1
abhorrent,-2,-1
abhorrently,-2,-1
abhors,-2,-1
abhors,-2,-1
abidance,2,1
abidance,2,1
abide,2,1
abject,-2,-1
abjectly,-2,-1
abjure,-1,-1
abilities,1,1
ability,1,1
able,1,1
abnormal,-1,-1
abolish,-1,-1
abominable,-2,-1
abominably,-2,-1
abominate,-2,-1
abomination,-2,-1
above,1,1
above-average,1,1
abound,1,1
abrade,-1,-1
abrasive,-2,-1
abrupt,-1,-1
abscond,-2,-1
absence,-1,-1
absentee,-1,-1
absent-minded,-2,-1
absolve,2,1
absolute,0,0
absolutely,0,0
absorbed,0,0
absurd,-2,-1
absurdity,-2,-1
absurdly,-2,-1
absurdness,-2,-1
abundant,1,1
abundance,1,1
abuse,-1,-1
abuse,-1,-1
abuse,-2,-1
abuses,-1,-1
abuses,-1,-1
abusive,-2,-1
abysmal,-2,-1
abysmally,-2,-1
abyss,-2,-1
accede,2,1
accentuate,0,0
accept,1,1
acceptance,1,1
acceptable,1,1
accessible,1,1
accidental,-1,-1
acclaim,2,1
acclaim,2,1
acclaimed,2,1
acclamation,2,1
accolade,2,1
accolades,2,1
accommodative,1,1
accomplish,1,1
accomplishment,1,1
accomplishments,1,1
accord,1,1
accordance,1,1
accordantly,1,1
accost,-1,-1
accountable,-1,-1
accurate,1,1
accurately,1,1
accursed,-2,-1
accusation,-2,-1
accusation,-2,-1
accusations,-2,-1
accusations,-2,-1
accuse,-2,-1
accuses,-2,-1
accusing,-2,-1
accusingly,-2,-1
acerbate,-2,-1
acerbic,-2,-1
acerbically,-2,-1
ache,-2,-1
achievable,1,1
achieve,1,1
achievement,1,1
achievements,1,1
acknowledge,1,1
acknowledgement,1,1
acquit,1,1
acrid,-2,-1
acridly,-2,-1
acridness,-2,-1
acrimonious,-2,-1
acrimoniously,-2,-1
acrimony,-2,-1
active,1,1
activist,0,0
activist,0,0
actual,0,0
actuality,0,0
actually,0,0
acumen,2,1
adamant,-2,-1
adamantly,-2,-1
adaptable,1,1
adaptability,1,1
adaptive,1,1
addict,-1,-1
addiction,-1,-1
adept,1,1
adeptly,1,1
adequate,1,1
adherence,1,1
adherent,1,1
adhesion,1,1
admirable,2,1
admirer,2,1
admirable,2,1
admirably,2,1
admiration,2,1
admire,2,1
admiring,2,1
admiringly,2,1
admission,1,1
admission,1,1
admit,2,1
admittedly,2,1
admonish,-2,-1
admonisher,-2,-1
admonishingly,-2,-1
admonishment,-2,-1
admonition,-2,-1
adolescents,0,0
adolescents,0,0
adorable,2,1
adore,2,1
adored,2,1
adorer,2,1
adorer,2,1
adoring,2,1
adoringly,2,1
adrift,-1,-1
adroit,2,1
adroitly,2,1
adulate,2,1
adulation,2,1
adulatory,2,1
adulterate,-2,-1
adulterated,-2,-1
adulteration,-2,-1
advanced,1,1
advantage,1,1
advantage,1,1
advantageous,2,1
advantages,1,1
advantages,1,1
adventure,1,1
adventure,1,1
adventuresome,2,1
adventurism,2,1
adventurous,1,1
adversarial,-1,-1
adversary,-1,-1
adverse,-1,-1
adversity,-2,-1
advice,1,1
advice,1,1
advisable,1,1
advocate,2,1
advocacy,2,1
affable,2,1
affability,1,1
affably,1,1
affect,0,0
affectation,-1,-1
affected,0,0
affection,2,1
affection,2,1
affectionate,2,1
affinity,1,1
affirm,2,1
affirmation,2,1
affirmation,2,1
affirmative,1,1
afflict,-1,-1
affliction,-1,-1
afflictive,-2,-1
affluent,1,1
affluence,1,1
afford,1,1
affordable,1,1
affront,-2,-1
affront,-2,-1
afloat,1,1
afraid,-2,-1
against,-1,-1
aggravate,-2,-1
aggravating,-2,-1
aggravation,-2,-1
aggression,-2,-1
aggression,-2,-1
aggressive,-2,-1
aggressiveness,-2,-1
aggressor,-2,-1
aggrieve,-2,-1
aggrieved,-2,-1
aghast,-2,-1
agile,1,1
agilely,1,1
agility,1,1
agitate,-2,-1
agitated,-2,-1
agitation,-2,-1
agitator,-2,-1
agonies,-2,-1
agonize,-2,-1
agonizing,-2,-1
agonizing,-2,-1
agonizingly,-2,-1
agony,-2,-1
agree,2,1
agreeability,2,1
agreeable,1,1
agreeable,2,1
agreeableness,2,1
agreeably,2,1
agreement,1,1
agreement,1,1
aha,0,0
ail,-1,-1
ail,-1,-1
ailment,-1,-1
aimless,-2,-1
air,0,0
airs,-1,-1
airs,-1,-1
alarm,-1,-1
alarm,-1,-1
alarmed,-2,-1
alarming,-2,-1
alarmingly,-2,-1
alas,-2,-1
alert,0,0
alienate,-1,-1
alienated,-1,-1
alienation,-1,-1
all-time,0,0
all-time,0,0
allay,2,1
allegation,-2,-1
allegations,-2,-1
allege,-1,-1
allegations,-2,-1
allegorize,0,0
allergic,-1,-1
alleviate,1,1
alliance,0,0
alliances,0,0
alliances,0,0
allow,1,1
allowable,1,1
allure,2,1
allure,2,1
alluring,2,1
alluringly,2,1
allusion,0,0
allusion,0,0
allusions,0,0
ally,2,1
almighty,2,1
aloof,-2,-1
altercation,-1,-1
although,-1,-1
altogether,0,0
altruist,2,1
altruistic,2,1
altruistically,2,1
amaze,2,1
amazed,2,1
amazement,2,1
amazing,2,1
amazing,2,1
amazingly,2,1
ambiguous,-2,-1
ambiguity,-2,-1
ambitious,1,1
ambitious,1,1
ambitiously,1,1
ambivalence,-2,-1
ambivalent,-2,-1
ambivalent,-2,-1
ambush,-1,-1
ambush,-1,-1
ameliorate,2,1
amenable,2,1
amenity,1,1
amiability,2,1
amiabily,2,1
amiable,2,1
amicability,2,1
amicable,2,1
amicably,2,1
amiss,-2,-1
amity,1,1
amity,1,1
amnesty,1,1
amour,2,1
ample,1,1
amply,1,1
amplify,0,0
amputate,-1,-1
amuse,2,1
amusement,2,1
amusement,2,1
amusing,2,1
amusing,2,1
amusingly,2,1
analytical,0,0
anarchism,-2,-1
anarchist,-2,-1
anarchistic,-2,-1
anarchy,-2,-1
anemic,-1,-1
angel,1,1
angelic,2,1
anger,-2,-1
anger,-2,-1
anger,-2,-1
angrily,-2,-1
angriness,-2,-1
angry,-2,-1
anguish,-2,-1
anguish,-2,-1
annihilate,-2,-1
annihilation,-2,-1
animated,1,1
animosity,-2,-1
annoy,-2,-1
annoyance,-2,-1
annoyed,-2,-1
annoying,-2,-1
annoying,-2,-1
annoyingly,-2,-1
anomalous,-1,-1
anomaly,-1,-1
antagonism,-2,-1
antagonist,-1,-1
antagonistic,-2,-1
antagonize,-2,-1
anti-,-2,-1
anti-American,-2,-1
anti-American,-2,-1
anti-Israeli,-2,-1
anti-Israeli,-2,-1
anti-Semites,-2,-1
anti-Semites,-2,-1
anti-US,-2,-1
anti-US,-2,-1
anti-occupation,-2,-1
anti-occupation,-2,-1
anti-proliferation,-2,-1
anti-proliferation,-2,-1
anti-social,-2,-1
anti-white,-2,-1
anti-white,-2,-1
antipathy,-2,-1
antiquated,-2,-1
antithetical,-2,-1
antithetical,-2,-1
anxieties,-2,-1
anxiety,-2,-1
anxious,-2,-1
anxiously,-2,-1
anxiousness,-2,-1
anyhow,0,0
anyway,0,0
anyways,0,0
apathetic,-2,-1
apathetic,-2,-1
apathetically,-2,-1
apathy,-2,-1
ape,-2,-1
apocalypse,-2,-1
apocalyptic,-2,-1
apologist,-2,-1
apologist,-2,-1
apologists,-2,-1
apologists,-2,-1
apostle,2,1
apostle,2,1
apotheosis,2,1
apotheosis,2,1
appal,-2,-1
appall,-2,-1
appall,-2,-1
appall,-2,-1
appalled,-2,-1
appalling,-2,-1
appallingly,-2,-1
apparent,0,0
apparently,0,0
appeal,1,1
appeal,1,1
appeal,1,1
appealing,2,1
appear,0,0
appearance,0,0
appearance,0,0
appease,1,1
applaud,2,1
appreciable,1,1
appreciate,2,1
appreciation,2,1
appreciation,2,1
appreciative,2,1
appreciatively,2,1
appreciativeness,2,1
apprehend,0,0
apprehension,-2,-1
apprehensions,-2,-1
apprehensions,-2,-1
apprehensive,-2,-1
apprehensive,-2,-1
apprehensively,-2,-1
appropriate,1,1
approval,1,1
approve,1,1
apt,1,1
aptly,1,1
aptitude,1,1
arbitrary,-2,-1
arcane,-2,-1
archaic,-2,-1
ardent,2,1
ardently,2,1
ardor,2,1
arduous,-2,-1
arduously,-2,-1
aristocratic,1,1
argue,-2,-1
argument,-1,-1
argument,-1,-1
argumentative,-2,-1
