Tweet,Stance,Index,Original Tweet
hrt is very effective in easing many of the symptoms of menopause that women have,FAVOR,29,HRT is very effective in easing many of the symptoms of menopause that women have.
the researchers also looked at the biological plausibility of any causal link,NONE,124,The researchers also looked at the biological plausibility of any causal link.
they appraised each study against nine criteria that would need to be met before it was possible to say whether hrt caused breast cancer,NONE,115,They appraised each study against nine criteria that would need to be met before it was possible to say whether HRT caused breast cancer.
ovarian cancer is often difficult to diagnose as the symptoms are similar to irritable bowel syndrome and other conditions,NONE,84,Ovarian cancer is often difficult to diagnose as the symptoms are similar to irritable bowel syndrome and other conditions.
"further refining the data collected , a secondary analysis of the whi study found evidence to suggest that women who begin hormone therapy within 10 years of menopause may have less of a risk of heart disease than women who are farther from menopause",FAVOR,5,"Further refining the data collected, a secondary analysis of the WHI study found evidence to suggest that women who begin hormone therapy within 10 years of menopause may have less of a risk of heart disease than women who are farther from menopause."
but some data suggest that estrogen can decrease the risk of heart disease when taken early in postmenopausal years,FAVOR,56,But some data suggest that estrogen can decrease the risk of heart disease when taken early in postmenopausal years.
"at the moment there is n't enough research to say whether , above a certain dose , the progestogen can outweigh the estrogen and actually reduce the risk of womb cancer overall",NONE,143,"At the moment there isn't enough research to say whether, above a certain dose, the progestogen can outweigh the oestrogen and actually reduce the risk of womb cancer overall."
women taking the combined hrt were almost twice as likely as the placebo group to die of breast cancer ( and 57 percent more likely to die of other causes ),AGAINST,225,  Women taking the combined HRT were almost twice as likely as the placebo group to die of breast cancer (and 57 percent more likely to die of other causes).
"the findings from the study suggest that taking hormone replacement therapy ( hrt ) for the menopause , even for just a few years , is associated with an increased risk of developing ovarian cancer",AGAINST,152,"The findings from the study suggest that taking hormone replacement therapy (HRT)�for the menopause, even for just a few years, is associated with an increased risk of developing ovarian cancer."
"also , especially when taken for more than a few years , hormone therapy increases the risk of breast cancer , a finding confirmed in multiple studies of different hormone therapy combinations , not just limited to a combination estrogen progestin pill ( prempro )",AGAINST,65,"Also, especially when taken for more than a few years, hormone therapy increases the risk of breast cancer, a finding confirmed in multiple studies of different hormone therapy combinations, not just limited to a combination estrogen-progestin pill (Prempro)."
"for women with intact uteri , estrogen only treatment is not an acceptable option , because estrogen only treatment leads to a statistically significant increased risk for uterine cancer",AGAINST,208,"For women with intact uteri, estrogen only treatment is not an acceptable option, because estrogen-only treatment leads to a statistically significant increased risk for uterine cancer ."
"once a woman stops using hrt , her risk of breast cancer will start to drop back down again",AGAINST,136,"Once a woman stops using HRT, her risk of breast cancer will start to drop back down again."
data from the million women study suggest that the benefits of the estrogen only treatment might not apply to women at higher risk for a diagnosis of breast cancer,AGAINST,209,Data from the Million Women Study suggest that the benefits of the estrogen-only treatment might not apply to women at higher risk for a diagnosis of breast cancer.
when a woman stops taking hrt the risk starts to go back down over time,AGAINST,146,When a woman stops taking HRT the risk starts to go back down over time.
there are two main types of hrt namely ( i ) estrogen only hrt which contains only estrogen and ( ii ) combined hrt which contains both estrogen and a progesterone,NONE,31,There are two main types of HRT namely (i)  �oestrogen only HRT� which contains only  oestrogen and (ii)  �combined HRT� which contains both oestrogen and a progesterone.
"if you are taking the combined hormone pill for the long term treatment of marijuana disease such as osteoporosis , federal researchers have urged that you and your doctor discuss the possibility of stopping the therapy or tapering it off",AGAINST,12,"If you are taking the combined hormone pill for the long-term treatment of chronic disease such as osteoporosis, federal researchers have urged that you and your doctor discuss the possibility of stopping the therapy or tapering it off."
deciding which type of hrt to use can be difficult,NONE,35,Deciding which type of HRT to use can be difficult.
hormone replacement therapy ( hrt ) involves taking female sex hormones to replace hormones that your ovaries no longer produce after menopause,NONE,28,Hormone replacement therapy (HRT) involves taking female sex hormones to replace hormones that your ovaries no longer produce after menopause.
"it is important to remember that if you are in early menopause ( ie under 45 ) rather than natural menopause , hrt will just be replacing the hormones that would normally be produced at your age",NONE,42,"It�s important to remember that if you are in early menopause (ie. under 45) rather than natural menopause, HRT will just be replacing the hormones that would normally be produced at your age."
a long term review of two clinical trials has shed new light on menopausal hormone therapy and breast cancer risk over time,NONE,167,A long-term review of two clinical trials has shed new light on menopausal hormone therapy and breast cancer risk over time.
