Tweet,Stance,Index,Original Tweet
"although anyone can get skin cancer , the risk is greatest for people who have fair or freckled skin that burns easily , light eyes and blond or red hair",NONE,31,"Although anyone can get skin cancer, the risk is greatest for people who have fair or freckled skin that burns easily, light eyes and blond or red hair."
uv rays from sun exposure can penetrate and change the structure of skin cells and can cause skin cancer and premature skin aging,AGAINST,306,UV rays from sun exposure can penetrate and change the structure of skin cells and can cause skin cancer and premature skin aging.
"because uva rays pass effortlessly through the ozone layer ( the protective layer of atmosphere , or shield , surrounding the earth ) , they make up the majority of our sun exposure",NONE,227,"Because UVA rays pass effortlessly through the ozone layer (the protective layer of atmosphere, or shield, surrounding the earth), they make up the majority of our sun exposure."
the vast majority ( 83 ) of non melanoma skin cancer treatments were administered to australians aged 55 years and above,NONE,175,The vast majority (83%) of non-melanoma skin cancer treatments were administered to Australians aged 55 years and above.
melanoma was occurring in areas where sunscreen is used the most and melanoma rates are highest among those that avoid the sun and work in indoor urban environments,AGAINST,248,Melanoma was occurring in areas where sunscreen is used the most and melanoma rates are highest among those that avoid the sun and work in indoor urban environments.
researchers found that the results showed that mortality was about double in women who avoided sun exposure compared to the highest exposure group,AGAINST,326,"Researchers found that the results ""showed that mortality was about double in women who avoided sun exposure compared to the highest exposure group""."
"uva , however , penetrates your skin more deeply than uvb",NONE,155,"UVA, however, penetrates your skin more deeply than UVB."
basal cell cancer is the most common of all cancers in north america and europe,NONE,59,Basal cell cancer is the most common of all cancers in North America and Europe.
all the scriptures about sun exposure and melanoma are premature,AGAINST,111,All the scriptures about sun exposure and melanoma are premature.
melanoma definitely can be deadly,NONE,132,Melanoma definitely can be deadly.
"indoor workers get three to nine times less solar uv exposure than outdoor workers get , yet only indoor workers have increasing rates of melanoma and the rates have been increasing since before 1940",AGAINST,15,"Indoor workers get three to nine times LESS solar UV exposure than outdoor workers get, yet only indoor workers have increasing rates of melanoma -- and the rates have been increasing since before 1940."
"the researchers revealed that , rather than being fueled by increasing exposure to sunlight as is commonly suggested , the increased incidence was almost entirely due to minimal , stage 1 disease",AGAINST,6,"The researchers revealed that, rather than being fueled by increasing exposure to sunlight as is commonly suggested, the increased incidence was almost entirely due to minimal, stage 1 disease."
"although freckles are harmless , being outside in the sun may help cause them or make them darker",NONE,242,"Although freckles are harmless, being outside in the sun may help cause them or make them darker."
"repeated unprotected exposure to the sun 's ultraviolet ( uv ) rays can cause skin damage , eye damage , immune system suppression , and skin cancer",FAVOR,220,"Repeated unprotected exposure to the sun's ultraviolet (UV) rays can cause skin damage, eye damage, immune system suppression, and skin cancer."
"shuster says that the common skin cancers develop in pale , sun exposed skin and are less frequent in people who avoid the sun and use protection",FAVOR,93,"Shuster says that the common skin cancers develop in pale, sun exposed skin and are less frequent in people who avoid the sun and use protection."
"other less common causes for skin cancer are repeated x ray exposure , scars from burns or disease , and occupational exposure to certain chemicals",NONE,30,"Other less common causes for skin cancer are repeated X-ray exposure, scars from burns or disease, and occupational exposure to certain chemicals."
"uvb appears to be protective against melanoma or rather , the vitamin d your body produces in response to uvb radiation is protective against skin cancer",AGAINST,22,"UVB appears to be protective against melanoma -- or rather, the vitamin D your body produces in response to UVB radiation is protective against skin cancer."
skin cancer can look many different ways 300,Does Sunlight exposure lead to skin cancer,290,Skin cancer can look many different ways.300
people with genetic diseases that make them more sensitive to sunlight have a greater chance of developing skin cancer,FAVOR,56,People with genetic diseases that make them more sensitive to sunlight have a greater chance of developing skin cancer.
this is because ultraviolet ( uv ) light from the sun damages the dna ( genetic material ) in our skin cells,FAVOR,203,This is because ultraviolet (UV) light from the sun damages the DNA (genetic material) in our skin cells.
"the researchers concluded these findings should lead to reply evaluation of the role of sun radiation and recommendations for protection from it , as well as the need for a new direction in the search for the cause of melanoma",NONE,10,"The researchers concluded: ""These findings should lead to  re-evaluation of the role of sun radiation and recommendations for protection from it, as well as the need for a new direction in the search for the cause of melanoma."""
