Tweet,Stance,Index,Original Tweet
vitamin see is typically used by many canadians to both prevent and treat ( or manage ) the common cold,FAVOR,38,Vitamin C is typically used by many Canadians to both prevent and treat (or manage) the common cold.
a cochrane review earlier this year found that regular vitamin see supplements had no effect on common cold incidence,AGAINST,170,A Cochrane review earlier this year found that regular vitamin C supplements had no effect on common cold incidence.
"supplementation with larger amounts of vitamin see has not been shown to be more effective , and it may cause diarrhea or have other adverse effects",AGAINST,143,"Supplementation with larger amounts of vitamin C has not been shown to be more effective, and it may cause diarrhea or have other adverse effects."
it is not necessarily a stretch to assume vitamin see might be protective against colds,FAVOR,57,It�s not necessarily a stretch to assume vitamin C might be protective against colds.
"though the information on vitamin see and the common cold is mixed , there are few risks in trying vitamin see and vitamin see supplements for reducing the severity or duration of cold and flu",FAVOR,267,"Though the information on vitamin C and the common cold is mixed, there are few risks in trying vitamin C and vitamin C supplements for reducing the severity or duration of cold and flu."
"there are still many sound reasons to get plenty of see researchers have long known that vitamin see is an essential building block of collagen , the structural material for bone , skin , blood vessels and other tissue",NONE,218,"There are still many sound reasons to get plenty of C. Researchers have long known that vitamin C is an essential building block of collagen, the structural material for bone, skin, blood vessels and other tissue."
today is popular belief that vitamin see can treat the common cold originated from claims made by influential american chemist linus pauling during the 1960s,NONE,178,Today�s popular belief that vitamin C can treat the common cold originated from claims made by influential American chemist Linus Pauling during the 1960s.
"the review results suggested that vitamin see might help prevent colds in people exposed to short periods of intense physical activity , such as marathon runners or skiers , but not in the general population",AGAINST,31,"The review results suggested that vitamin C might help prevent colds in people exposed to short periods of intense physical activity, such as marathon runners or skiers, but not in the general population."
"researchers also believe the powerful antioxidant action of vitamin see mops up inflammatory chemicals produced during a viral infection , to improve symptoms and hasten healing if a cold develops",FAVOR,256,"Researchers also believe the powerful antioxidant action of vitamin C mops up inflammatory chemicals produced during a viral infection, to improve symptoms and hasten healing if a cold develops ."
overwhelming evidence shows that vitamin see prevents common colds and reduces a colds severity and duration,FAVOR,78,Overwhelming evidence shows that vitamin C prevents common colds and reduces a colds severity and duration.
"when you 're sniffling and sneezing from a cold , you may be tempted to reach for a bottle of vitamin see pills or drink some orange juice",NONE,204,"When you're sniffling and sneezing from a cold, you may be tempted to reach for a bottle of vitamin C pills or drink some orange juice."
"four medical scientists who have analyzed the results of these trials have found pauling 's claims unsupported , except for slight reduction in severity , in most of those trials that were scientifically properly designed and executed",AGAINST,120,"Four biomedical scientists who have analyzed the results of these trials have found Pauling's claims unsupported, except for slight reduction in severity, in most of those trials that were scientifically properly designed and executed ."
pauling suggested that taking large doses of vitamin see could do everything from fight cancer to prevent heart disease,NONE,239,Pauling suggested that taking large doses of vitamin C could do everything from fight cancer to prevent heart disease.
"few things have stirred the imagination and hopes of the public in matters of nutrition or vexed nutrition scientists as much as linus pauling 's 1970 book , vitamin see and the common cold",NONE,111,"Few things have stirred the imagination and hopes of the public in matters of nutrition or vexed nutrition scientists as much as Linus Pauling's 1970 book, Vitamin C and the Common Cold."
"two sets of volunteers , one group who was given vitamin see pills and one group who was given placebo pills , were infected with a cold virus and it was found that all of the volunteers developed colds with similar symptoms and durations",AGAINST,185,"Two sets of volunteers, one group who was given Vitamin C pills and one group who was given placebo pills, were infected  with a cold virus and it was found that all of the volunteers developed colds with similar symptoms and durations."
"however , for people under extreme stress , or who do n't consume an adequate amount of fruits and vegetables , supplementation does appear to offer some protective benefits , and lower their risk of colds",FAVOR,108,"However, for people under extreme stress, or who don't consume an adequate amount of fruits and vegetables, supplementation does appear to offer some protective benefits, and lower their risk of colds."
"pauling said that after regularly taking high doses of vitamin see , he felt livelier and healthier and no longer experienced cold symptoms",FAVOR,179,"Pauling said that after regularly taking high doses of vitamin C, he felt �livelier and healthier� and no longer experienced cold symptoms."
"regardless , the review found that once cold symptoms show up , taking a therapeutic dose of vitamin see will not affect the duration or severity of the common cold",AGAINST,109,"Regardless, the review found that once cold symptoms show up, taking a therapeutic dose of vitamin C will not affect the duration or severity of the common cold."
"in the past few decades , multiple randomized controlled trials have examined whether the vitamin has any actual effect on the common cold",NONE,269,"In the past few decades, multiple randomized controlled trials have examined whether the vitamin has any actual effect on the common cold."
where vitamin see might be the most useful is after exposure to unusual stress or cold exposure,FAVOR,69,Where vitamin C might be the most useful is after exposure to unusual stress or cold exposure.
