Unnamed:0,sentence,ent_nut,ent_pos,ent_neg,sta_nut,sta_sup,sta_opp,senti,med_aff,med_treat,label
0,"as of 2015 , the short and long term effects from using e cigarettes remain unclear",0.1814472,0.18807152,0.1814472,4.097449759,3.809998171,4.05937994,Negative,0,0,neutral
1,"researchers found that 75 of tested e cigarette samples contained diacetyl , which when inhaled has been linked to the respiratory disease bronchiolitis obliterans",0.18144646,0.18807387,0.18144646,3.542253826,3.327713994,3.87123121,Negative,0,0,oppose
2,"since e cigarettes are intended to be used repeatedly , they can conveniently be used for an extended period of time , which may contribute to increased adverse effects",0.18144953,0.18808047,0.18144953,2.93227994,2.779078997,3.088603997,Negative,0,0,oppose
3,the authors of a letter in this week is nejm project that the associated incremental lifetime risk of cancer could be higher than that from long term smoking,0.18144539,0.18807136,0.18144539,2.831506789,2.774383807,3.038836439,Negative,0,0,oppose
4,"since they landed on the market in 2004 , e cigarettes have been dogged by controversy",0.1814482,0.1880754,0.1814482,4.05556251,3.793302998,3.811668604,Negative,0,0,neutral
5,"because some research has suggested that the levels of most toxicants in vapor are lower than the levels in smoke , e cigarettes have been deemed to be safer than regular cigarettes",0.18144417,0.18807103,0.18144417,3.719567742,3.550142294,3.734409021,Negative,0,0,support
6,"again , however , there are no long term epidemiological or observational data in actual humans using e cigarettes",0.1814453,0.18806657,0.1814453,3.437620384,3.472211386,3.420199993,Negative,0,0,support
7,e cigarettes also contain ' cancer causing chemicals such as formaldehyde,0.18144423,0.18807173,0.18144423,3.269171702,3.035839817,3.387219103,Negative,0,0,oppose
8,"non daily use of e cigarettes while smoking does not appear to be associated with cessation attempts , cessation or reduced smoking",0.18144298,0.18806365,0.18144298,3.718815836,3.366741793,3.358600199,Negative,0,0,neutral
9,"when used at low voltage , e cigarettes did not create any formaldehyde releasing agents , the researchers found",0.18144864,0.18807657,0.18144864,3.194451558,2.916077512,3.216786678,Negative,0,0,neutral
10,the safety of electronic cigarettes is uncertain,0.18144669,0.18807288,0.18144669,4.28369929,4.01077838,4.275103459,Negative,0,0,oppose
11,"unlike traditional cigarettes , the devices are not regulated by us authorities , leading to concern among some experts that they may be harmful to health",0.18144709,0.18807657,0.18144709,3.393821371,3.336659384,3.371572022,Negative,0,0,oppose
