Unnamed:0,sentence,ent_nut,ent_pos,ent_neg,sta_nut,sta_sup,sta_opp,senti,med_aff,med_treat,label
0,hrt is very effective in easing many of the symptoms of menopause that women have,-0.30883276,-0.0987088,-0.30883276,3.379267957,3.594638652,2.619497148,Negative,0,0,support
1,the researchers also looked at the biological plausibility of any causal link,-0.30873907,-0.098597966,-0.30873907,2.809318522,2.594731237,1.584150005,Negative,0,0,neutral
2,they appraised each study against nine criteria that would need to be met before it was possible to say whether hrt caused breast cancer,-0.30828807,-0.09144662,-0.30828807,2.76712663,2.311334281,1.354908848,Negative,0,0,neutral
3,ovarian cancer is often difficult to diagnose as the symptoms are similar to irritable bowel syndrome and other conditions,-0.30877307,-0.09714403,-0.30877307,3.499198334,3.25847162,2.104861687,Negative,0,0,neutral
4,"further refining the data collected , a secondary analysis of the whi study found evidence to suggest that women who begin hormone therapy within 10 years of menopause may have less of a risk of heart disease than women who are farther from menopause",-0.30690324,-0.08232549,-0.30690324,2.415052362,2.978587094,1.938118615,Negative,0,0,support
5,but some data suggest that estrogen can decrease the risk of heart disease when taken early in postmenopausal years,-0.3085872,-0.0949281,-0.3085872,2.16602756,2.634525136,1.835184715,Negative,0,0,support
6,"at the moment there is n't enough research to say whether , above a certain dose , the progestogen can outweigh the estrogen and actually reduce the risk of womb cancer overall",-0.307998,-0.087777406,-0.307998,3.282363733,3.220299907,2.078446284,Negative,0,0,neutral
7,women taking the combined hrt were almost twice as likely as the placebo group to die of breast cancer ( and 57 percent more likely to die of other causes ),-0.30789828,-0.08602426,-0.30789828,3.085752018,3.317566982,2.73736957,Negative,0,0,oppose
8,"the findings from the study suggest that taking hormone replacement therapy ( hrt ) for the menopause , even for just a few years , is associated with an increased risk of developing ovarian cancer",-0.30784705,-0.085226715,-0.30784705,2.727203919,2.985717348,2.43808358,Negative,0,0,oppose
9,"also , especially when taken for more than a few years , hormone therapy increases the risk of breast cancer , a finding confirmed in multiple studies of different hormone therapy combinations , not just limited to a combination estrogen progestin pill ( prempro )",-0.3073684,-0.08004399,-0.3073684,2.94453139,3.110566318,2.508510116,Negative,0,0,oppose
10,"for women with intact uteri , estrogen only treatment is not an acceptable option , because estrogen only treatment leads to a statistically significant increased risk for uterine cancer",-0.3080705,-0.08876128,-0.3080705,2.18559669,2.31016267,1.928166922,Negative,0,1,oppose
11,"once a woman stops using hrt , her risk of breast cancer will start to drop back down again",-0.30882823,-0.09770575,-0.30882823,3.620588826,3.739147411,3.075595488,Negative,0,0,oppose
12,data from the million women study suggest that the benefits of the estrogen only treatment might not apply to women at higher risk for a diagnosis of breast cancer,-0.30790356,-0.086115174,-0.30790356,2.463226544,2.81878455,2.260545211,Negative,0,1,oppose
13,when a woman stops taking hrt the risk starts to go back down over time,-0.3088702,-0.09833184,-0.3088702,3.579986861,3.709419282,2.944261888,Negative,0,0,oppose
