Unnamed:0,sentence,ent_nut,ent_pos,ent_neg,sta_nut,sta_sup,sta_opp,senti,med_aff,med_treat,label
0,"although anyone can get skin cancer , the risk is greatest for people who have fair or freckled skin that burns easily , light eyes and blond or red hair",0.16887964,0.13936263,0.16887964,3.452496873,3.043911038,3.08184091,Positive,0,0,neutral
1,uv rays from sun exposure can penetrate and change the structure of skin cells and can cause skin cancer and premature skin aging,0.16887963,0.1393626,0.16887963,2.567555386,2.431942902,2.517228438,Negative,0,0,oppose
2,"because uva rays pass effortlessly through the ozone layer ( the protective layer of atmosphere , or shield , surrounding the earth ) , they make up the majority of our sun exposure",0.16887969,0.1393627,0.16887969,3.317868987,2.86408278,3.0093132,Negative,0,0,neutral
3,the vast majority ( 83 ) of non melanoma skin cancer treatments were administered to australians aged 55 years and above,0.16887984,0.13936287,0.16887984,3.039186548,2.653391067,2.767294839,Negative,0,0,neutral
4,melanoma was occurring in areas where sunscreen is used the most and melanoma rates are highest among those that avoid the sun and work in indoor urban environments,0.16887987,0.13936292,0.16887987,4.408833625,4.250119587,4.346218521,Negative,0,0,oppose
5,researchers found that the results showed that mortality was about double in women who avoided sun exposure compared to the highest exposure group,0.16887987,0.1393629,0.16887987,2.626907752,2.883287413,3.319652781,Neutral,0,0,oppose
6,"uva , however , penetrates your skin more deeply than uvb",0.16888008,0.13936312,0.16888008,2.788857732,2.444307613,2.559637847,Negative,0,0,neutral
7,basal cell cancer is the most common of all cancers in north america and europe,0.16887991,0.13936293,0.16887991,3.357327011,3.259720185,2.935767507,Neutral,0,0,neutral
8,all the scriptures about sun exposure and melanoma are premature,0.16888,0.13936304,0.16888,2.38526818,2.617469794,2.888546399,Negative,0,0,oppose
9,melanoma definitely can be deadly,0.16887996,0.13936296,0.16887996,3.353613419,3.135017726,3.392663306,Neutral,0,0,neutral
10,"indoor workers get three to nine times less solar uv exposure than outdoor workers get , yet only indoor workers have increasing rates of melanoma and the rates have been increasing since before 1940",0.168878,0.13936074,0.168878,3.668951498,3.585663208,3.84241785,Negative,0,0,oppose
11,"the researchers revealed that , rather than being fueled by increasing exposure to sunlight as is commonly suggested , the increased incidence was almost entirely due to minimal , stage 1 disease",0.16887903,0.13936193,0.16887903,4.081609115,4.004534564,4.31466859,Negative,0,0,oppose
12,"although freckles are harmless , being outside in the sun may help cause them or make them darker",0.16888,0.13936305,0.16888,3.63186306,3.350605776,3.572970896,Negative,0,0,neutral
13,"repeated unprotected exposure to the sun 's ultraviolet ( uv ) rays can cause skin damage , eye damage , immune system suppression , and skin cancer",0.16887945,0.1393624,0.16887945,3.229491489,3.196431616,3.026260794,Negative,0,0,support
14,"shuster says that the common skin cancers develop in pale , sun exposed skin and are less frequent in people who avoid the sun and use protection",0.16887936,0.13936234,0.16887936,2.126111736,2.421209256,2.142658138,Negative,0,0,support
15,"other less common causes for skin cancer are repeated x ray exposure , scars from burns or disease , and occupational exposure to certain chemicals",0.16887933,0.13936229,0.16887933,2.850121485,2.664890227,2.539154127,Negative,0,0,neutral
16,"uvb appears to be protective against melanoma or rather , the vitamin d your body produces in response to uvb radiation is protective against skin cancer",0.16887982,0.13936284,0.16887982,3.080131943,3.040608038,3.147938527,Negative,0,0,oppose
17,skin cancer can look many different ways 300,0.16887999,0.13936302,0.16887999,3.695997766,3.349860635,3.378785784,Neutral,0,0,neutral
18,people with genetic diseases that make them more sensitive to sunlight have a greater chance of developing skin cancer,0.16887978,0.13936278,0.16887978,3.622589573,3.559332351,3.435249257,Positive,0,0,support
19,this is because ultraviolet ( uv ) light from the sun damages the dna ( genetic material ) in our skin cells,0.16887973,0.13936272,0.16887973,3.288918565,3.35487001,3.205086543,Negative,0,0,support
20,"the researchers concluded these findings should lead to reply evaluation of the role of sun radiation and recommendations for protection from it , as well as the need for a new direction in the search for the cause of melanoma",0.16887918,0.13936211,0.16887918,3.432353793,3.117953337,3.355370055,Negative,0,0,neutral
21,"people with many ( more than 50 ) ordinary moles , or with a very large dark hairy birthmark , have a higher than average chance of getting a melanoma",0.16887987,0.1393629,0.16887987,3.216460135,2.890644198,3.071140201,Negative,0,0,neutral
22,( but both dark and light skinned kids need protection from uv rays because any tanning or burning causes skin damage ),0.1688798,0.13936283,0.1688798,3.022679924,2.728398434,2.745802868,Negative,0,0,neutral
