Unnamed:0,sentence,ent_nut,ent_pos,ent_neg,sta_nut,sta_sup,sta_opp,senti,med_aff,med_treat,label
0,vitamin see is typically used by many canadians to both prevent and treat ( or manage ) the common cold,-0.23564643,-0.046429016,-0.23564643,2.95131047,2.825021866,2.686964441,Negative,0,1,support
1,a cochrane review earlier this year found that regular vitamin see supplements had no effect on common cold incidence,-0.23564911,-0.046427496,-0.23564911,1.994554403,2.21239753,2.551416179,Negative,1,0,oppose
2,"supplementation with larger amounts of vitamin see has not been shown to be more effective , and it may cause diarrhea or have other adverse effects",-0.23564619,-0.046429195,-0.23564619,4.251017885,4.091137217,4.104698852,Negative,0,0,oppose
3,it is not necessarily a stretch to assume vitamin see might be protective against colds,-0.23564106,-0.046432234,-0.23564106,2.092538727,2.466475242,2.223698113,Negative,0,0,support
4,"though the information on vitamin see and the common cold is mixed , there are few risks in trying vitamin see and vitamin see supplements for reducing the severity or duration of cold and flu",-0.23565471,-0.04642415,-0.23565471,2.37053719,2.444221718,2.356386087,Negative,0,0,support
5,"there are still many sound reasons to get plenty of see researchers have long known that vitamin see is an essential building block of collagen , the structural material for bone , skin , blood vessels and other tissue",-0.23568034,-0.046408996,-0.23568034,3.632263085,3.152008348,3.212279506,Negative,0,0,neutral
6,today is popular belief that vitamin see can treat the common cold originated from claims made by influential american chemist linus pauling during the 1960s,-0.2356425,-0.046431385,-0.2356425,2.8569704,2.299211824,2.657974424,Negative,0,1,neutral
7,"the review results suggested that vitamin see might help prevent colds in people exposed to short periods of intense physical activity , such as marathon runners or skiers , but not in the general population",-0.23566289,-0.0464193,-0.23566289,3.620067582,3.627364577,3.70604755,Negative,0,0,oppose
8,"researchers also believe the powerful antioxidant action of vitamin see mops up inflammatory chemicals produced during a viral infection , to improve symptoms and hasten healing if a cold develops",-0.23565261,-0.046425387,-0.23565261,2.480069861,2.832427899,2.555053036,Negative,0,0,support
9,overwhelming evidence shows that vitamin see prevents common colds and reduces a colds severity and duration,-0.23564407,-0.046430446,-0.23564407,2.319976284,2.382784385,2.443510044,Negative,0,0,support
10,"when you 're sniffling and sneezing from a cold , you may be tempted to reach for a bottle of vitamin see pills or drink some orange juice",-0.23565009,-0.0464269,-0.23565009,3.255287009,2.894613013,2.954598089,Negative,0,0,neutral
11,"four medical scientists who have analyzed the results of these trials have found pauling 's claims unsupported , except for slight reduction in severity , in most of those trials that were scientifically properly designed and executed",-0.23565117,-0.046426214,-0.23565117,4.651011713,4.371503554,4.647678772,Negative,0,0,oppose
12,pauling suggested that taking large doses of vitamin see could do everything from fight cancer to prevent heart disease,-0.23565134,-0.04642614,-0.23565134,3.929096578,3.67671469,3.678163091,Negative,0,0,neutral
13,"few things have stirred the imagination and hopes of the public in matters of nutrition or vexed nutrition scientists as much as linus pauling 's 1970 book , vitamin see and the common cold",-0.23565213,-0.04642567,-0.23565213,3.755814017,3.403640042,3.47051608,Negative,0,0,neutral
14,"two sets of volunteers , one group who was given vitamin see pills and one group who was given placebo pills , were infected with a cold virus and it was found that all of the volunteers developed colds with similar symptoms and durations",-0.23566557,-0.04641769,-0.23566557,3.861290181,3.762875163,3.855435872,Negative,0,0,oppose
15,"however , for people under extreme stress , or who do n't consume an adequate amount of fruits and vegetables , supplementation does appear to offer some protective benefits , and lower their risk of colds",-0.2356536,-0.0464248,-0.2356536,3.429350616,3.561081502,3.32568861,Neutral,0,0,support
16,"pauling said that after regularly taking high doses of vitamin see , he felt livelier and healthier and no longer experienced cold symptoms",-0.23564707,-0.046428688,-0.23564707,3.200253957,3.362227416,3.158257751,Negative,0,0,support
17,"regardless , the review found that once cold symptoms show up , taking a therapeutic dose of vitamin see will not affect the duration or severity of the common cold",-0.23565148,-0.046426058,-0.23565148,2.114376543,2.184279737,2.423034137,Negative,0,0,oppose
